연번,사용일,적  요,금  액,"대상
(인)",사용처,"집행구분
(카드/현금)",
27,2020-09-01,코로나19 방역수칙 이행실태 현장점검 직원 노고 격려,"384,000",17,삼희불낙,카드,
28,2020-09-02,코로나19 대응업무 과로로 인한 탈진공무원 위문 격려,"120,000",,정관장광주상무점,카드,
29,2020-09-04,코로나19 대응 5개구 보건소 직원 노고 위문격려,"3,082,000",650,카페드민트외2,카드,
30,2020-09-08,코로나19 대응 소방학교 생활관 근무직원 격려 간식 구입,"545,200",68,버거킹호남대점,카드,
31,2020-09-09,주요 협약식 및 면담.접견 등 응대용 다과재료 등 구입,"492,300",,이룸카페외1,카드,
32,2020-09-14,직원 애경사 축부의금 집행,"150,000",3,소속직원,현금,
33,2020-09-21,직원 애경사 축부의금 집행,"100,000",2,소속직원,현금,
34,2020-09-24,업무 협약식 등 환경정비에 따른 화분 등 구입,"1,140,000",,금강산꽃백화점,카드,
35,2020-09-25,제31보병사단 등 지역 군 장병 노고 격려,"3,000,000",2500,㈜전주제과,카드,
36,2020-09-25,9월분 직원생일 축하 격려물품 구입비 집행,"4,450,000",178,틔움직업재활센터,카드,
1,2020-04-01,직원 애경사 축부의금 집행,"300,000",6,소속직원,현금,
2,2020-04-06,내방객용 다과 등 구입,"475,600",,푸드마켓외1,카드,
3,2020-04-07,코로나19 등 현안업무 추진 노고 격려 오찬,"174,400",9,본죽,카드,
4,2020-04-08,주요 현안업무 추진 부서원 등 격려 간식 구입,"435,000",5개부서,새마을금고,카드,
5,2020-04-16,직원 애경사 축부의금 집행,"150,000",3,소속직원,현금,
6,2020-04-23,미래형 신산업 사업 투자 유치 활동 수행직원 노고 격려,"171,000",6,몽중헌,카드,
7,2020-04-25,직원 애경사 축부의금 집행,"250,000",5,소속직원,현금,
8,2020-04-25,직원 애경사 축부의금 집행,"100,000",2,소속직원,현금,
9,2020-04-27,내방객용 다과 등 구입,"420,000",,이룸카페,카드,
10,2020-04-28,4월 직원생일 축하 격려물품 구입비 집행,"1,900,000",76,틔움직업재활센터,카드,
11,2020-04-28,주요 시정시책 협조인사 증정용 기념품 구입(선구매),"3,900,000",100,아트컴퍼니모이모,카드,
12,2020-05-04,5~6월 직원생일 축하 격려물품 구입비 선구매,"4,725,000",189,틔움직업재활센터,카드,
13,2020-05-04,코로나19 극복을 위해 수고하는 병원 의료 현장근무자 직원 격려 간식 구입,"1,232,000",224,행복나무떡집,카드,
14,2020-05-04,공공시설 개소식 및 협약식 등 환경정비에 따른 화분 등 구입,"880,000",,아이러브플라워외1,카드,
15,2020-05-06,코로나19 방역 활동 및 청사 입구 열감지기 관리 등 노고 격려 간식 구입,"439,000",107,푸드마켓,카드,
16,2020-05-07,시-한컴그룹 업무협약 행사 후 수행직원 노고 격려,"83,000",4,청록담,카드,
17,2020-05-08,2020년 상반기 퇴직공무원 기념품 선구매,"9,500,000",50,(유)에이원이앤씨,카드,
18,2020-05-10,휴일 코로나19 중앙재난안전대책 본부 회의 후 간부공무원 노고 격려 간담회,"130,000",5,동경,카드,
19,2020-05-11,부상공무원 위로 및 격려금 집행,"200,000",1,소속직원,현금,
20,2020-05-12,5.18민주화운동 40주년 기념 서울특별전 개막식 참석 수행직원 노고 격려,"84,000",4,장안삼계탕,카드,
21,2020-05-15,직원 애경사 축부의금 집행,"150,000",3,소속직원,현금,
22,2020-05-16,직원 애경사 축부의금 집행,"150,000",3,소속직원,현금,
23,2020-05-17,제40주년 5.18민주화운동 기념식 등 관련업무 추진 휴일근무자 노고 격려 간담회,"84,000",7,1983영광오뚜기국수집,카드,
24,2020-05-19,자치구 긴급재난지원금 신속지급 등 노고격려 간담회,"390,000",13,예향계절한정식,카드,
25,2020-05-22,주요 현안업무 추진 부서원 등 격려 간식 구입,"313,000",3개부서,새마을금고,카드,
26,2020-05-22,직원 애경사 축부의금 집행,"150,000",3,소속직원,현금,
27,2020-05-23,2020 빛고을관등회 행사 준비를 위해 수고한 휴일 근무자 노고 격려,"240,000",20,풍남옥,카드,
28,2020-05-23,백운광장 상습 침수로 인한 하수관로 공사 현장 확인 후 휴일근무자 격려 오찬,"101,000",11,광주옥1947,카드,
29,2020-05-25,내방객용 다과 등 구입,"436,300",,이룸카페외1,카드,
30,2020-05-29,공군제1전투비행단 지역 군 장병 위문 및 격려,"2,500,000",,대주축산,카드,
31,2020-06-02,시-매일방송(MBN)업무협약 행사 후 수행직원 노고 격려,"136,000",6,더루이스충무로지점,카드,
32,2020-06-02,5.18 민주화운동 40주년 기념 특별전 서울 개막행사 후 수행직원 노고 격려,"60,500",7,정성담아탕찌개,카드,
33,2020-06-05,인공지능 기업유치 관련 수행직원 노고 격려 간담,"188,000",8,해초록,카드,
34,2020-06-08,주요 현안업무 추진 부서원 등 격려 간식 구입,"405,000",4개부서,푸드마켓,카드,
35,2020-06-10,2020년 상반기 퇴직공무원 기념품 추가구매,"1,900,000",10,(유)에이원이앤씨,카드,
36,2020-06-12,현안업무 추진 노고에 따른 직원 사기진작 격려 간식,"217,500",2개부서,새마을금고,카드,
37,2020-06-13,코로나19 환자 발생으로 인한 휴일 근무자 노고 격려,"306,000",16,박정표밀알모밀,카드,
38,2020-06-21,직원 애경사 축부의금 집행,"300,000",6,소속직원,현금,
39,2020-06-22,상반기 공무직 퇴임에 따른 격려품 구매,"1,520,000",8,(유)에이원이앤씨,카드,
40,2020-06-22,주요 현안업무 추진 부서원 등 격려 간식 구입,"412,000",5개부서,새마을금고,카드,
