연번,부 서 명,집행일자,집  행  내  역,집행장소,연번,"부 서 명   
 부 서 명","집행일자   
 집행일자"
22,총무과,11/23,직원격려 간담회,인터불고 엑스코,23,총무과,11/24
23,총무과,11/24,서울본부 직원 격려 간담회,켄싱턴호텔,24,총무과,11/25
24,총무과,11/24,직원격려 간담회,고령촌돼지찌개,25,총무과,11/25
25,총무과,11/24,언론인 초청 간담회,소나무,26,총무과,11/25
26,총무과,11/26,직원격려 간담회,부용,27,총무과,11/27
27,총무과,11/26,직원격려 간담회,대정옥,28,총무과,11/27
28,총무과,11/27,선배공무원과 함께하는 홈커밍데이 다과비,레드리본사회적협동조합,29,총무과,11/28
29,총무과,11/28,직원격려 간담회,범어만두,30,총무과,11/29
30,총무과,11/29,직원격려 간담회,김가네동태한그릇,31,총무과,11/30
31,"총무과   
 총무과","11/29   
 11/29",통합 신공항 이전관련 간담회,만보가,"32   
 32",총무과,11/30
1,총무과,10/6,주요 시정 현안 논의 간담회,산중식당,2,총무과,10/7
2,총무과,10/7,주요 시정 현안 논의 간담회,개방,3,총무과,10/8
3,총무과,10/10,직원 격려 간담회,홍유,4,총무과,10/11
4,총무과,10/11,추석연휴 비상근무자 격려용 간식 구입,호식이두마리치킨,5,총무과,10/12
5,총무과,10/11,직원 격려 간담회,만보가,6,총무과,10/12
6,총무과,10/12,내방객 접대용 음료 등 구입,오케이 마트 외 1,7,총무과,10/13
7,총무과,10/12,서문시장 복합건축 관련 간담회,성주숯불갈비,8,총무과,10/13
8,총무과,10/17,근조화 세트 구입,가나아트,9,총무과,10/18
9,총무과,10/17,교육현안 관련 간담회,만보가,10,총무과,10/18
10,총무과,10/18,직원 격려 간담회,온돌방,11,총무과,10/19
11,총무과,10/19,직원 격려 간담회,방범골뱅이,12,총무과,10/20
12,총무과,10/19,직원 격려 간담회,파이온,13,총무과,10/20
13,총무과,10/20,내장객 접대용 음료 등 구입,이마트,14,총무과,10/21
14,총무과,10/22,직원 격려 간담회,동해복어,15,총무과,10/23
15,총무과,10/23,2017년 국회 행정안전위원회 국정감사 관련 간담회,구내식당,16,총무과,10/24
16,총무과,10/23,직원 격려 간담회,마루,17,총무과,10/24
17,총무과,10/24,언론인 초청 간담회,청맥식당,18,총무과,10/25
18,총무과,10/25,직원 격려 간담회,홍콩반점 외,19,총무과,10/26
19,총무과,10/25,직원 격려 간담회,동보성,20,총무과,10/26
20,총무과,10/26,직원 격려 간담회,전주식당,21,총무과,10/27
21,총무과,10/26,직원 격려 간담회,마루,22,총무과,10/27
22,총무과,10/27,직원 격려 간담회,너와집,23,총무과,10/28
23,총무과,10/28,직원 격려 간담회,강남식당,24,총무과,10/29
24,총무과,10/29,지역 현안 논의 간담회,촌생고기,25,총무과,10/30
25,총무과,10/30,직원 격려 간담회,윤가네식당,26,총무과,10/31
1,총무과,9/4,통합 공항 이전관련 간담회,동해복어,2,총무과,9/5
2,총무과,9/4,직원 격려 간담회,해밥달밥,3,총무과,9/5
3,총무과,9/4,직원 격려 간담회,삼덕에비뉴,4,총무과,9/5
4,총무과,9/5,직원 격려 간담회,만보가,5,총무과,9/6
5,총무과,9/6,시정 현안 관련 간담회,이천추어탕,6,총무과,9/7
6,총무과,9/8,대구-히로시마 자매결연 20주년 행사 관련 기념품 구입,약령시사람들,7,총무과,9/9
7,총무과,9/8,언론인 초청 간담회,"동해복어, 매스커피",8,총무과,9/9
8,총무과,9/8,세계 합창 축제관련 간담회,닭한끼,9,총무과,9/9
9,총무과,9/10,직원 격려 간담회,국수나무,10,총무과,9/11
10,총무과,9/11,주요 시정현안 논의 간담회,대어초밥,11,총무과,9/12
11,총무과,9/13,주요 시정현안 논의 간담회,산,12,총무과,9/14
12,총무과,9/14,직원 격려 간담회,삼덕에비뉴,13,총무과,9/15
13,총무과,9/15,주요 시정현안 논의 간담회,하이솟대,14,총무과,9/16
14,총무과,9/15,직원 격려 간담회,동해복어,15,총무과,9/16
15,총무과,9/16,전통시장 활성화 방안 논의 간담회,정아돼지국밥,16,총무과,9/17
16,총무과,9/16,시민생활체육 대축전 관련 간담회,송정초밥,17,총무과,9/17
17,총무과,9/18,내방객 접대용 음료 구입,ok마트,18,총무과,9/19
18,총무과,9/19,주요 시정현안 논의 간담회,만리장성,19,총무과,9/20
19,총무과,9/19,직원 격려 간담회,발군의족발,20,총무과,9/20
20,총무과,9/20,언론인 초청 간담회,삼덕에비뉴,21,총무과,9/21
21,총무과,9/20,언론인 초청 간담회,안압정,22,총무과,9/21
22,총무과,9/21,직원 격려 간담회,초원,23,총무과,9/22
23,총무과,9/22,직원 격려 간담회,상주,24,총무과,9/23
24,총무과,9/24,추석 관련 지역원로 홍보품 구입,약령시사람들,25,총무과,9/25
25,총무과,9/24,직원 격려 간담회,해덕한우,26,총무과,9/25
26,총무과,9/25,대구시 노인연합회 회장단 간담회,산,27,총무과,9/26
27,총무과,9/26,추석연휴 현장 및 상황 근무자 격려,삼덕119안전센터 외 1,28,총무과,9/27
28,총무과,9/26,추석 연휴 상황 및 현업근무자 위문품 구입,대한적십자사대구광역지사 외 1,29,총무과,9/27
29,총무과,9/29,직원 격려 간담회,산타마르게리타,30,총무과,9/30
1,총무과,8/7,시정 현안 논의 간담회,석빈,2,총무과,8/8
2,총무과,8/8,내방객 접대용 음료 등 구입,ok마트 외 1,3,총무과,8/9
3,총무과,8/8,직원 격려 간담회,부림산채,4,총무과,8/9
4,총무과,8/8,직원 격려 간담회,비브릿지,5,총무과,8/9
5,총무과,8/8,전의경 대원 격려금,중부경찰서,6,총무과,8/9
6,총무과,8/10,시정 현안 논의 간담회,만보가,7,총무과,8/11
7,총무과,8/11,서울본부 직원 격려 간담회,똠팡이와묵은김치,8,총무과,8/12
8,총무과,8/11,시정 현안 논의 간담회,한화호텔,9,총무과,8/12
9,총무과,8/12,주요 시정 현안 논의 간담회,하촌식당,10,총무과,8/13
10,총무과,8/14,주요 시정 현안 논의 간담회,하촌식당,11,총무과,8/15
11,총무과,8/16,주요 시정 현안 논의 간담회,만보가,12,총무과,8/17
12,총무과,8/21,직원격려 간담회,동해복어,13,총무과,8/22
13,총무과,8/21,을지훈련 야간근무자 격려품 구입,대명과일,14,총무과,8/22
14,총무과,8/22,직원격려 간담회,청맥식당,15,총무과,8/23
15,총무과,8/22,직원격려 간담회,삼덕에비뉴,16,총무과,8/23
16,총무과,8/23,내방객 접대용 음료 등 구입,오케이마트 외 1,17,총무과,8/24
17,총무과,8/23,직원격려 간담회,카페무아,18,총무과,8/24
18,총무과,8/23,을지훈련 야간근무자 격려품 추가 구입,대명과일,19,총무과,8/24
19,총무과,8/23,지역 예술가 현안 문제 논의 간담회,삼덕에비뉴,20,총무과,8/24
20,총무과,8/25,직원 격려 간담회,용지봉,21,총무과,8/26
21,총무과,8/28,직원격려 간담회,제이일보스코,22,총무과,8/29
22,총무과,8/28,대구시 지역자율방재연합회 간담회,한농부의풀꽃밥상,23,총무과,8/29
23,총무과,8/28,지역 예술인 작업환경 개선 관련 간담회,라빌레트,24,총무과,8/29
24,총무과,8/29,시정 주요현안관련 논의 간담회,동보성,25,총무과,8/30
25,총무과,8/30,시정 현안 관련 간담회,만보가,26,총무과,8/31
1,총무과,7/2,시정업무협의 국회의원 간담회,파티온,2,총무과,7/3
2,총무과,7/6,국제 그린카 전시회관련 간담회,거창하휴게소,3,총무과,7/7
3,총무과,7/7,언론 인터뷰 준비관련 간담회,감포은정복어,4,총무과,7/8
4,총무과,7/8,직원 격려 간담회,차이나궁,5,총무과,7/9
5,총무과,7/8,주요 시정현안 논의 간담회,만보가,6,총무과,7/9
6,총무과,7/10,딤프 어워즈 참여관련 간담회,통영충무김밥,7,총무과,7/11
7,총무과,7/10,언론인 간담회,켄싱턴호텔,8,총무과,7/11
8,총무과,7/12,메디 시티 협의회관련 간담회,카페앤펍더편,9,총무과,7/13
9,총무과,7/12,지역 의료산업 업무 추진 간담회 경지 지출,삼천궁식당,10,총무과,7/13
10,총무과,7/13,대구사랑운동 현안 사항 의견 수렴 간담회,갈비가숯불애,11,총무과,7/14
11,총무과,7/14,생활문화제 참여 직원 격려 간담회,현대옥,12,총무과,7/15
12,총무과,7/14,언론인 간담회,향송죽매,13,총무과,7/15
13,총무과,7/17,시정 현안 논의 간담회,안압정갈비식당,14,총무과,7/18
14,총무과,7/18,내방객 접대용 음료 등 구입,오케이마트,15,총무과,7/19
15,총무과,7/18,주요 시정 현안 논의 간담회,해덕한우,16,총무과,7/19
16,총무과,7/18,지역 현안 논의 간담회,켄싱턴호텔,17,총무과,7/19
17,총무과,7/20,직원 격려 간담회,청담,18,총무과,7/21
18,총무과,7/20,노사화합 협의 간담회,만남의광장,19,총무과,7/21
19,총무과,7/21,직원 격려 간담회,김가네동태한그릇,20,총무과,7/22
20,총무과,7/21,여름철 직원 격려품 구입,대명과일,21,총무과,7/22
21,총무과,7/21,생활공감정책모니터단 오찬 간담회,만리장성,22,총무과,7/22
22,총무과,7/25,근조화환 구입,제우스플라워,23,총무과,7/26
23,총무과,7/25,지역 언론사 관계자 간담회,해수전복,24,총무과,7/26
24,총무과,7/26,내방객 접대용 음료 등 구입,오케이마트,25,총무과,7/27
25,총무과,7/26,서울본부 직원 격려 간담회,문배동육칼,26,총무과,7/27
26,총무과,7/26,시정 현안 논의 간담회,키사라,27,총무과,7/27
27,총무과,7/26,시정 현안 관련 간담회,켄싱턴호텔,28,총무과,7/27
28,총무과,7/27,지역 우수제품 홍보를 위한 특산품 구입,시선,29,총무과,7/28
29,총무과,7/28,직원 격려 간담회,낙영찜갈비,30,총무과,7/29
30,총무과,7/28,시정 현안 논의 간담회,동해복어,31,총무과,7/29
1,총무과,6/1,꽃 박람회 참석 자치단체장 간담회,해금강,2,총무과,6/2
2,총무과,6/3,대한민국 연극제 사전점검 간담회,해밥달밥,3,총무과,6/4
3,총무과,6/7,직원 의견청취 간담회,송정초밥,4,총무과,6/8
4,총무과,6/7,내방객 접대용 음료 등 구입,오케이마트 외 1,5,총무과,6/8
5,총무과,6/10,2017 전국생활체육 대축전 관계자 격려 간담회,연송갈치,6,총무과,6/11
6,총무과,6/10,대구시 체육회 임원 간담회,한우동,7,총무과,6/11
7,총무과,6/10,시정업무협의 국회의원 간담회,송정가든,8,총무과,6/11
8,총무과,6/14,시민원탁회의 준비관련 간담회,통영충무김밥,9,총무과,6/15
9,총무과,6/15,대선공약 반영 관련 간담회,명성식육식당,10,총무과,6/16
10,총무과,6/15,시정 현안 소통 간담회,동해복어,11,총무과,6/16
11,총무과,6/16,녹조대책 관련 간담회,온돌방,12,총무과,6/17
12,총무과,6/17,시정 현안 논의 간담회,그랜드관광호텔,13,총무과,6/18
13,총무과,6/17,주요시정 현안 논의 간담회,예담,14,총무과,6/18
14,총무과,6/20,기계로봇과 직원격려 간담회,진주,15,총무과,6/21
15,총무과,6/21,구군 의장 정책협의회 간담회,이가네더덕밥,16,총무과,6/22
16,총무과,6/23,내방객 접대용 음료 등 구입,오케이마트 외 1,17,총무과,6/24
17,총무과,6/25,직원 격려 간담회,부산안면옥,18,총무과,6/26
18,총무과,6/25,직원 격려 간담회,현대옥,19,총무과,6/26
19,총무과,6/26,자율주행 자동차 경진대회 참가팀 격려,매스커피,20,총무과,6/27
20,총무과,6/27,직원 격려 간담회,파티온,21,총무과,6/28
21,총무과,6/27,국가산단 에너지융복합 스마트단지 조성 업무협약 간담회,온돌방,22,총무과,6/28
22,총무과,6/28,주요 시정 현안 간담회,진주,23,총무과,6/29
23,총무과,6/28,보훈단체장 오찬 간담회,산,24,총무과,6/29
24,총무과,6/29,직원 격려 간담회 급식비,콩이랑,25,총무과,6/30
25,총무과,6/29,직원격려 간담회 음료 구입,콩마담,26,총무과,6/30
26,총무과,6/29,시민단체 실무대표와의 간담회,예원,27,총무과,6/30
1,총무과,5/1,시정 주요정책 협의 간담회,감나무집,2,총무과,5/2
2,총무과,5/2,안심지구 개발관련 간담회,오늘은짬뽕땡기는날,3,총무과,5/3
3,총무과,5/6,대구 대공원 추진관련 간담회,강남식당,4,총무과,5/7
4,총무과,5/9,전통시장 활성화 방안논의 간담회,휴심관,5,총무과,5/10
5,총무과,5/9,대선투표 상황실 근무자 격려 간담회,매스커피,6,총무과,5/10
6,총무과,5/11,주요 시정현안 논의 간담회,장원,7,총무과,5/12
7,총무과,5/12,언론인 기자 초청 간담회,한농부의풀꽃밥상,8,총무과,5/13
8,총무과,5/14,직원격려 간담회,오복미역,9,총무과,5/15
9,총무과,5/15,직원 격려 간담회,파티온,10,총무과,5/16
10,총무과,5/15,내방객 접대용 음료 구입,오케이마트 외 1,11,총무과,5/16
11,총무과,5/17,주요 시정현안 논의 간담회,온돌방,12,총무과,5/18
12,총무과,5/18,주요 시정현안 논의 간담회,홀리데이인광주호텔,13,총무과,5/19
13,총무과,5/18,지역원로 오찬 간담회,솔내음,14,총무과,5/19
14,총무과,5/22,시정 현안관련 의견청취 간담회,만보가,15,총무과,5/23
15,총무과,5/24,대선 공약 반영 관련 간담회,아트리움,16,총무과,5/25
16,총무과,5/24,지역원로 오찬 간담회,아트리움,17,총무과,5/25
17,총무과,5/25,전기자동차 활성화 관련 간담회,만보가,18,총무과,5/26
18,총무과,5/26,주요 시정현안 논의 간담회,한농부의풀꽃밥상,19,총무과,5/27
19,총무과,5/29,언론인 초청 간담회,동해복어,20,총무과,5/30
20,총무과,5/30,통합신공항 이전 논의 간담회,동인삼계탕,21,총무과,5/31
21,총무과,5/30,내방객 접대용 음료 구입,오케이마트,22,총무과,5/31
22,총무과,5/31,미소친절 시민모니터단 워크숍 관련 간담회,초원,23,총무과,6/1
1,총무과,4/10,서문시장 화재관련 관계자 간담회,성주,2,총무과,4/11
2,총무과,4/11,도시기반혁신본부 업무협의 간담회,만보가,3,총무과,4/12
3,총무과,4/11,대구FC 활성화 방안 협의 간담회,온돌방,4,총무과,4/12
4,총무과,4/13,내방객 접대용 음료 등 구입,오케이마트,5,총무과,4/14
5,총무과,4/13,서울본부 업무협의 간담회,대한국밥,6,총무과,4/14
6,총무과,4/15,금호강 하중도 명소화관련 업무담당자 간담회,아라한정식,7,총무과,4/16
7,총무과,4/16,시정질문 답변관련 자료검토 회의,청도한재,8,총무과,4/17
8,총무과,4/17,창조도시 포럼관련 간담회,고령촌돼지찌개,9,총무과,4/18
9,총무과,4/21,내방객 접대용 음료 등 구입,오케이마트 외 2,10,총무과,4/22
10,총무과,4/22,시장 부재중 업무보고 관련 간담회,대정옥,11,총무과,4/23
11,총무과,4/24,지역관광 활성화 방안 간담회,송종초밥,12,총무과,4/25
12,총무과,4/25,자연재난 대비 현장근무자 격려품 구입,오케이마트,13,총무과,4/26
13,총무과,4/26,염색산업단지 관련 간담회,만보가,14,총무과,4/27
14,총무과,4/27,도시기본계획 업무보고관련 간담회,엄마손칼국수,15,총무과,4/28
15,총무과,4/27,반려동물 테마파크 사전점검 간담회,만보가,16,총무과,4/28
1,총무과,3/2,직원 소통 토크관련 간담회,동해복어,2,총무과,3/3
2,총무과,3/5,대구시당 정책간담회 준비 직원 격려 간담회,범어맛찬들,3,총무과,3/6
3,총무과,3/6,직원격려 간담회,해밥달밥,4,총무과,3/7
4,총무과,3/7,지역 현안사업 논의관련 국회의원 간담회,온돌방,5,총무과,3/8
6,총무과,3/9,대구여성단체협의회 전임 및 신임임원과의 간담회,페페라올라,7,총무과,3/10
7,총무과,3/12,어린이기자단 발대식 참여직원 격려 간담회,장원,8,총무과,3/13
8,총무과,3/13,지역 법조계 인사 초청 오찬간담회,안압정갈비식당,9,총무과,3/14
9,총무과,3/14,언론사 기자 초청 간담회,동해복어,10,총무과,3/15
10,총무과,3/15,컬러풀 축제 사전준비 직원격려 간담회,만보가,11,총무과,3/16
11,총무과,3/15,국제 전기자동차 엑스포 준비 직원격려 간담회,팔백국밥,12,총무과,3/16
12,총무과,3/16,WMACi 추진상황 점검 간담회,아라한정식,13,총무과,3/17
13,총무과,3/17,국제 전기자동차 엑스포 참석자 간담회,운해횟집,14,총무과,3/18
14,총무과,3/18,국비확보 보고회 관련 직원격려 간담회,부림산채,15,총무과,3/19
15,총무과,3/20,전의경 대원 격려금,대구지방경찰청,16,총무과,3/21
16,총무과,3/26,대선공약반영 점검관련 간담회,아라한정식,17,총무과,3/27
17,총무과,3/26,시정 정책간담회,삼덕에비뉴,18,총무과,3/27
18,총무과,3/27,주요시정 홍보관련 설명간담회,아트리움,19,총무과,3/28
19,총무과,3/28,내방객 접대용 다과 등 구입,오케이마트 외 3,20,총무과,3/29
20,총무과,3/29,명예퇴직자 격려 간담회,만리장성,21,총무과,3/30
21,총무과,3/30,청원경찰 및 전의경 대원 격려품(간식) 구입,오케이마트,22,총무과,3/31
22,총무과,3/30,시정현안사항 전문가 의견 청취 간담회,삼덕에비뉴,23,총무과,3/31
23,총무과,3/30,언론사 기자초청 간담회,명성식육식당,24,총무과,3/31
1,총무과,2/2,업무협의 간담회,만보가,2,총무과,2/3
2,총무과,2/4,여성정책 수립방안 논의 간담회,해밥달밥,3,총무과,2/5
3,총무과,2/4,대구경북지방 통합방위회의 사전준비 간담회,강남식당,4,총무과,2/5
4,총무과,2/7,지방분권관련 업무협의 간담회,광화문아띠설가온,5,총무과,2/8
5,총무과,2/10,통합공항 추진관련 언론인 간담회,동해복어,6,총무과,2/11
6,총무과,2/13,시정 주요현안 홍보관련 간담회,삼천궁식당,7,총무과,2/14
7,총무과,2/13,제2기 대구시 청년위원회 위원간담회,카페무아,8,총무과,2/14
8,총무과,2/16,내방객 접대용 음료 등 구입,오케이마트 외 1,9,총무과,2/17
9,총무과,2/22,당정협의회 준비 및 관계자 격려 간담회,켄싱턴호텔,10,총무과,2/23
10,총무과,2/23,내방객 접대용 음료 등 구입,오케이마트 외 1,11,총무과,2/24
11,총무과,2/23,3.1절 기념식 행사 추진상황 점검 간담회,만보가,12,총무과,2/24
12,총무과,2/24,직원 소톨간담회 사전준비 관게자 격려 간담회,온돌방,13,총무과,2/25
1,총무과,1/2,2017년도 주요업무계획 협의 간담회,동해복어,2,총무과,1/3
2,총무과,1/9,해외출장 성과 협의 간담회,부림산채,3,총무과,1/10
3,총무과,1/10,해외출장 성과 협의 간담회,명성식육식당,4,총무과,1/11
4,총무과,1/11,대구디지털산업진흥원 업무협의 간담회,만보가,5,총무과,1/12
5,총무과,1/12,대구시 노인정책 수립 간담회,7전8기,6,총무과,1/13
6,총무과,1/12,서문시장 화재 지원방안 협의 간담회,카페무아,7,총무과,1/13
7,총무과,1/13,내방객 접대용 다과 구입,오케이마트,8,총무과,1/14
8,총무과,1/14,통합신공항 이전 논의 간담회,대정옥,9,총무과,1/15
9,총무과,1/15,문화콘텐츠 활성화 방안 협의 간담회,삼각포차,10,총무과,1/16
10,총무과,1/16,대구시 관광 활성화 방안 논의 간담회,엄마손칼국수,11,총무과,1/17
11,총무과,1/16,보건복지국 업무보고 간담회,벙글벙글,12,총무과,1/17
12,총무과,1/16,설맞이 전통시장 활성화 관련 온누리상품권 구입,대구은행,13,총무과,1/17
13,총무과,1/19,서울본부 업무협의 간담회,코리아나호텔,14,총무과,1/20
14,총무과,1/19,설관련 지역원로 홍보품 구입,정관장,15,총무과,1/20
15,총무과,1/20,설연휴 상황 및 현업 근무자 위문품 구입,대구장터,16,총무과,1/21
16,총무과,1/20,지역원로 오찬 간담회,아트리움,17,총무과,1/21
17,총무과,1/20,제설근무자 격려물품 구입,오케이마트,18,총무과,1/21
18,총무과,1/22,언론사 관계자 간담회,감포은정복어,19,총무과,1/23
19,총무과,1/23,시 법률고문변호사 간담회,동심각,20,총무과,1/24
20,총무과,1/24,시정방향 공유 시민공감 토크 사전준비 간담회,만리장성,21,총무과,1/25
21,총무과,1/25,직원 격려 간담회,삼천궁식당,22,총무과,1/26
22,"총무과   
 총무과","1/26   
 1/26",설연휴 현장 및 상황근무자 격려,119상황실 외 2,23,"총무과   
 총무과","1/27   
 1/27"
23,"총무과   
 총무과",1/29,언론인터뷰 준비 간담회,강남식당,"24   
 24","총무과   
 총무과",1/30
