연번,부 서 명,집행일자,집  행  내  역,집행장소,연번,"부 서 명   
 부 서 명","집행일자   
 집행일자"
16,총무과,5/8,코로나19 관련 직원 격려 간담회 경비 지출,호키츠네,17,총무과,5/9
17,총무과,"5/9   
 5/9",코로나19 비상대책 간담회 경비 지출,영양숯불갈비,18,총무과,5/10
18,총무과,5/9,코로나19 관련 직원 격려 간담회 경비 지출,오히츠,19,총무과,5/10
19,총무과,5/11,코로나19 관련 직원 격려 간담회 경비 지출,뜨돈,20,총무과,5/12
20,총무과,5/12,코로나19 관련 직원 격려 간담회 경비 지출,js가든,21,총무과,5/13
21,총무과,5/12,코로나19 관련 직원 격려 간담회 경비 지출,중식대가효민,22,총무과,5/13
22,총무과,5/14,코로나19 관련 직원 격려 간담회 경비 지출,왕건이집,23,총무과,5/15
23,총무과,5/15,코로나19 관련 직원 격려 간담회 경비 지출,민수사,24,총무과,5/16
24,총무과,5/16,코로나19 관련 정책간담회 경비 지출,리미니가든,25,총무과,5/17
25,"총무과   
 총무과","5/18   
 5/18",코로나19 관련 직원 격려 간담회 경비 지출,동해복어,"26   
 26",총무과,5/19
26,총무과,5/19,코로나19 관련 직원 격려 간담회 경비 지출,삼수장어,27,총무과,5/20
27,총무과,5/19,코로나19 관련 홍보간담회 경비 지출,만보가,28,총무과,5/20
28,총무과,5/22,코로나19 관련 비상대응본부 간담회 경비 지출,민수사,29,총무과,5/23
29,총무과,5/22,코로나19 관련 직원 격려 간담회 경비 지출,명성숯불갈비,30,총무과,5/23
30,총무과,5/23,코로나19 관련 간담회 경비 지출,오아르 샹들리에,31,총무과,5/24
31,총무과,5/25,서대구산업단지 개발 관련 직원 격려 간담회 경비 지출,성원정,32,총무과,5/26
32,총무과,"5/25   
 5/25",코로나19 관련 간담회 경비 지출,피에프창,33,총무과,5/26
33,총무과,5/26,코로나19 관련 직원 격려 간담회 경비 지출,버거킹,34,총무과,5/27
34,총무과,5/27,코로나19 관련 직원 격려 간담회 경비 지출,주식회사 카페동이,35,총무과,5/28
35,총무과,5/28,코로나19 관련 직원 격려 간담회 경비 지출,마늘칼국수,36,총무과,5/29
36,총무과,"5/29   
 5/29",코로나19 관련 홍보간담회 경비 지출,호키츠네,37,총무과,5/30
37,총무과,5/29,코로나19 관련 홍보간담회 경비 지출,청림원,38,총무과,5/30
37,총무과,5/29,코로나19 극복관련 격려 경비 지출,에스파스,38,총무과,5/30
1,총무과,"4/1   
 4/1",코로나19 비상근무 직원 격려 간담회 경비 지출,삼수장어,2,총무과,4/2
2,총무과,"4/1   
 4/1",코로나19 비상근무 직원 격려 간담회 경비 지출,전주식콩나물해장국,3,총무과,4/2
3,총무과,4/1,내방객 접대용 음료 등 구입,오케이마트외 1,4,총무과,4/2
4,총무과,4/2,코로나19 비상근무 직원 격려 간담회 경비 지출,피에프창,5,총무과,4/3
5,총무과,4/2,코로나19 비상근무 직원 격려 간담회 경비 지출,동아전복,6,총무과,4/3
6,총무과,"4/3   
 4/3",코로나19 비상근무 직원 격려 간담회 경비 지출,팔덕식당,7,총무과,4/4
7,총무과,"4/4   
 4/4",코로나19 비상근무 직원 격려 간담회 경비 지출,뜨돈,8,총무과,4/5
8,총무과,4/5,코로나19 비상근무 직원 격려 간담회 경비 지출,순남시래기,9,총무과,4/6
9,총무과,4/5,코로나19 비상근무 직원 격려 간담회 경비 지출,오히츠,10,총무과,4/6
10,총무과,4/6,코로나19 비상근무 직원 격려 간담회 경비 지출,전주식콩나물해장국,11,총무과,4/7
11,총무과,4/7,코로나19 비상근무 직원 격려 간담회 경비 지출,브라더한정식도시락,12,총무과,4/8
12,총무과,4/7,코로나19 비상근무 직원 격려 간담회 경비 지출,청송약수삼계탕,13,총무과,4/8
13,총무과,4/8,코로나19 비상근무 직원 격려 경비 지출,압구정,14,총무과,4/9
14,총무과,4/8,코로나19 비상근무 직원 격려 간담회 경비 지출,동아전복,15,총무과,4/9
15,총무과,4/10,코로나19 비상근무 직원 격려 간담회 경비 지출,통영충무김밥,16,총무과,4/11
16,총무과,4/10,코로나19 비상근무 직원 격려 간담회 경비 지출,오히츠,17,총무과,4/11
17,총무과,4/11,코로나19 비상근무 직원 격려 간담회 경비 지출,js가든,18,총무과,4/12
18,총무과,4/11,코로나19 비상근무 직원 격려 간담회 경비 지출,청송약수삼계탕,19,총무과,4/12
19,총무과,4/12,코로나19 비상근무 직원 격려 간담회 경비 지출,개정,20,총무과,4/13
20,총무과,4/12,코로나19 비상근무 직원 격려 간담회 경비 지출,js가든,21,총무과,4/13
21,총무과,4/13,코로나19 비상근무 직원 격려 간담회 경비 지출,오히츠,22,총무과,4/14
22,총무과,4/14,코로나19 비상근무 직원 격려 간담회 경비 지출,전주식콩나물해장국,23,총무과,4/15
23,총무과,4/14,코로나19 생활치료센터운영단 격려 경비 지출,피자에땅외 2,24,총무과,4/15
24,총무과,4/15,코로나19 비상근무 직원 격려 간담회 경비 지출,js가든,25,총무과,4/16
25,총무과,4/16,코로나19 비상근무 직원 격려 간담회 경비 지출,부림산채,26,총무과,4/17
26,총무과,4/17,코로나19 비상근무 직원 격려 간담회 경비 지출,편대장영화식당,27,총무과,4/18
27,"총무과   
 총무과","4/18   
 4/18",코로나19 비상근무 직원 격려 간담회 경비 지출,js가든,"28   
 28",총무과,4/19
28,총무과,4/18,코로나19 비상근무 직원 격려 간담회 경비 지출,청송약수삼계탕,29,총무과,4/19
29,총무과,4/19,코로나19 비상근무 직원 격려 간담회 경비 지출,삼수장어,30,총무과,4/20
30,총무과,4/19,코로나19 비상근무 직원 격려 간담회 경비 지출,카페동이,31,총무과,4/20
31,총무과,4/20,코로나19 비상근무 직원 격려 간담회 경비 지출,js가든,32,총무과,4/21
32,총무과,4/20,코로나19 비상근무 직원 격려 간담회 경비 지출,동아전복,33,총무과,4/21
33,총무과,4/20,내방객 접대용 음료 등 구입,통통과일외 1,34,총무과,4/21
34,총무과,4/21,코로나19 비상근무 직원 격려 간담회 경비 지출,피에프창,35,총무과,4/22
35,총무과,4/22,코로나19 비상근무 직원 격려 간담회 경비 지출,뜨돈,36,총무과,4/23
36,총무과,4/23,코로나19 비상근무 직원 격려 간담회 경비 지출,마늘칼국수,37,총무과,4/24
37,총무과,4/23,코로나19 비상근무 직원 격려 간담회 경비 지출,청송약수삼계탕,38,총무과,4/24
38,총무과,4/23,코로나19 범시민대책위원회 소통간담회 경비 지출,매스커피,39,총무과,4/24
39,총무과,4/23,코로나19 긴급생계자금지원단 및 소상공인 긴급생존자금지원단 격려 경비 지출,에스파스,40,총무과,4/24
40,총무과,4/24,코로나19 비상근무 직원 격려 간담회 경비 지출,해수전복,41,총무과,4/25
41,총무과,4/25,코로나19 비상대책 간담회 경비 지출,엄마손칼국수,42,총무과,4/26
42,총무과,4/25,코로나19 관련 간담회 경비 지출,온돌방,43,총무과,4/26
43,총무과,4/26,코로나19 비상근무 직원 격려 간담회 경비 지출,삿뽀로,44,총무과,4/27
44,총무과,4/27,코로나19 비상근무 직원 격려 간담회 경비 지출,전주식콩나물해장국,45,총무과,4/28
45,총무과,4/27,코로나19 극복관련 간담회 경비 지출,삼수장어,46,총무과,4/28
46,총무과,4/28,코로나19 비상근무 직원 격려 간담회 경비 지출,js가든,47,총무과,4/29
47,총무과,4/28,코로나19 비상근무 직원 격려 간담회 경비 지출,언양불고기,48,총무과,4/29
48,총무과,4/29,코로나19 비상근무 직원 격려 간담회 경비 지출,충무할매김밥,49,총무과,4/30
49,총무과,4/29,코로나19 비상근무 직원 격려 간담회 경비 지출,청송약수삼계탕,50,총무과,4/30
50,총무과,4/30,코로나19 비상근무 직원 격려 간담회 경비 지출,동아전복,51,총무과,5/1
1,총무과,"3/1   
 3/1",코로나19 비상근무 직원 격려 간담회 경비 지출,황뻘낙지,2,총무과,3/2
2,총무과,"3/1   
 3/1",코로나19 비상근무 직원 격려 간담회 경비 지출,중식대가효민,3,총무과,3/2
